label,top1,top2,top5
炸鱼块,0.391304347826087,0.6521739130434783,0.7391304347826086
南瓜饼,0.7931034482758621,0.9482758620689655,0.9655172413793104
鸡翅包饭,0.7666666666666667,0.9,1.0
樱桃,0.8043478260869565,0.8695652173913043,0.9565217391304348
红烧豆腐,0.5121951219512195,0.8780487804878049,0.9512195121951219
香煎藕盒,0.7857142857142857,0.8809523809523809,0.9285714285714286
味增汤,0.9,0.9333333333333333,0.9555555555555556
皮皮虾,0.967741935483871,0.978494623655914,0.978494623655914
炒粉丝,0.6666666666666666,0.8333333333333334,1.0
鱼香肉丝,0.6951219512195121,0.8780487804878049,0.9634146341463414
威化饼干,0.4444444444444444,0.8888888888888888,0.8888888888888888
香酥带鱼,0.5625,0.8125,0.90625
白灼菜心,0.9295774647887324,0.971830985915493,1.0
蛋糕,0.6792452830188679,0.8679245283018868,0.9433962264150944
油焖大虾,0.32142857142857145,0.6428571428571429,0.9642857142857143
冬瓜炒肉,0.6111111111111112,0.7222222222222222,0.9444444444444444
培根金针菇卷,0.9117647058823529,0.9705882352941176,1.0
小米粥,0.8518518518518519,0.9814814814814815,1.0
烤茄子,0.9477611940298507,0.9850746268656716,1.0
水晶虾饺,0.8125,0.9375,0.96875
豆干炒肉,0.2857142857142857,0.6071428571428571,0.9285714285714286
罗宋汤,0.7037037037037037,0.8888888888888888,1.0
炒饭,0.9802631578947368,0.993421052631579,0.993421052631579
奶油蘑菇汤,0.8,0.9,1.0
木须肉,0.967391304347826,0.967391304347826,0.9782608695652174
麻辣烫,0.6,0.85,0.975
鞑靼牛肉,0.8571428571428571,0.9285714285714286,1.0
柿子,0.7419354838709677,0.8064516129032258,0.967741935483871
宫保鸡丁盖饭,0.9230769230769231,1.0,1.0
老婆饼,0.6444444444444445,0.8888888888888888,0.9555555555555556
地三鲜盖饭,0.5,0.875,1.0
黄瓜,0.9354838709677419,0.9516129032258065,1.0
冰糖雪梨,0.828125,0.953125,0.96875
玉米饼,0.7073170731707317,0.8780487804878049,0.9512195121951219
脏脏包,0.7272727272727273,0.9090909090909091,1.0
韭菜炒河虾,0.7692307692307693,0.8076923076923077,0.9615384615384616
蓝莓酱山药,0.935064935064935,0.961038961038961,0.987012987012987
芒果布丁,0.6557377049180327,0.819672131147541,0.9672131147540983
烤冷面,0.8444444444444444,1.0,1.0
蒜茸粉丝蒸虾,0.9,0.9,1.0
豆浆,0.75,0.8636363636363636,0.9772727272727273
茄子豆角,0.918918918918919,0.972972972972973,0.990990990990991
奶酪通心粉,0.53125,0.65625,0.9375
酸辣汤,0.8363636363636363,0.9090909090909091,0.9818181818181818
绿豆粥,0.6376811594202898,0.9130434782608695,1.0
拌面,0.6065573770491803,0.8688524590163934,0.9836065573770492
山药排骨汤,0.4166666666666667,0.7,0.9833333333333333
山楂糕,0.7843137254901961,0.8823529411764706,0.9411764705882353
炒蛏子,0.7931034482758621,0.8275862068965517,0.896551724137931
夫妻肺片,0.7288135593220338,0.864406779661017,0.9830508474576272
辣椒炒肉,0.5309734513274337,0.8761061946902655,0.9911504424778761
烩面,0.6111111111111112,0.8703703703703703,0.9629629629629629
烧鸭烧鹅饭,0.9047619047619048,0.9523809523809523,1.0
脆皮乳鸽,0.7777777777777778,0.8703703703703703,0.9444444444444444
拌饭,0.9538461538461539,0.9692307692307692,1.0
班戟,0.8648648648648649,0.918918918918919,0.918918918918919
锡纸金针菇,0.9259259259259259,1.0,1.0
百香果,1.0,1.0,1.0
豌杂面,0.875,1.0,1.0
手抓饼,0.9166666666666666,0.9166666666666666,1.0
柑桔,0.6888888888888889,0.9333333333333333,1.0
锡纸娃娃菜,0.6666666666666666,1.0,1.0
蛋糕卷,0.9090909090909091,0.9242424242424242,0.9696969696969697
山竹,0.9629629629629629,0.9814814814814815,0.9814814814814815
薯片,0.5555555555555556,0.8148148148148148,0.9259259259259259
生蚝,0.68,0.92,0.92
芒果千层蛋糕,0.7555555555555555,0.9111111111111111,0.9555555555555556
香菇蒸鸡,0.7058823529411765,0.9411764705882353,1.0
甜甜圈,0.9607843137254902,0.9803921568627451,0.9803921568627451
肥肠面,0.6,0.7,0.86
羊肉泡馍,0.9552238805970149,0.9850746268656716,1.0
纸杯蛋糕,0.7894736842105263,0.868421052631579,0.9736842105263158
炒年糕,0.7647058823529411,0.8823529411764706,0.9705882352941176
抹茶冰淇淋,0.7317073170731707,0.8536585365853658,0.9512195121951219
虾皮冬瓜,0.1875,0.5625,0.9375
葡萄,0.975,0.9875,1.0
冬瓜汤,0.8857142857142857,0.9142857142857143,0.9714285714285714
焦糖布丁,0.7758620689655172,0.8620689655172413,0.9310344827586207
韭菜盒子,0.75,0.96875,1.0
汤河粉,0.5263157894736842,0.7368421052631579,0.9122807017543859
巴旦木,0.9873417721518988,0.9873417721518988,1.0
